# Mnemonic          Explicit Operands     Implicit Operands Encoding                                Flags, Prefixes, Set, Category, Class, RW map, Additional ops
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 0x00 - 0x0F

# 0x10 - 0x1F
VMOVLPD             Mq,Vdq                nil               [vex m:1 p:1 l:0 w:i 0x13 /r:mem]       s:AVX, t:DATAXFER, w:W|R, e:5
VUNPCKLPS           Vx,Hx,Wx              nil               [vex m:1 p:0 l:x w:i 0x14 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKLPD           Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x14 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKHPS           Vx,Hx,Wx              nil               [vex m:1 p:0 l:x w:i 0x15 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKHPD           Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x15 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VMOVHPS             Vdq,Hdq,Mq            nil               [vex m:1 p:0 l:0 w:i 0x16 /r:mem]       s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVLHPS            Vdq,Hdq,Udq           nil               [vex m:1 p:0 l:0 w:i 0x16 /r:reg]       s:AVX, t:AVX, w:W|R|R, e:7
VMOVHPD             Vdq,Hdq,Mq            nil               [vex m:1 p:1 l:0 w:i 0x16 /r:mem]       s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSHDUP           Vx,Wx                 nil               [vex m:1 p:2 l:x w:i 0x16 /r]           s:AVX, t:AVX, w:W|R, e:4
VMOVHPS             Mq,Vdq                nil               [vex m:1 p:0 l:0 w:i 0x17 /r:mem]       s:AVX, t:DATAXFER, w:W|R, e:5
VMOVHPD             Mq,Vdq                nil               [vex m:1 p:1 l:0 w:i 0x17 /r:mem]       s:AVX, t:DATAXFER, w:W|R, e:5

# 0x20 - 0x2F
VMOVAPS             Vx,Wx                 nil               [vex m:1 p:0 l:x w:i 0x28 /r]           s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD             Vx,Wx                 nil               [vex m:1 p:1 l:x w:i 0x28 /r]           s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPS             Wx,Vx                 nil               [vex m:1 p:0 l:x w:i 0x29 /r]           s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD             Wx,Vx                 nil               [vex m:1 p:1 l:x w:i 0x29 /r]           s:AVX, t:DATAXFER, w:W|R, e:1
VCVTSI2SS           Vss,Hss,Ey            nil               [vex m:1 p:2 l:i w:x 0x2A /r]           s:AVX, t:CONVERT, w:W|R|R, e:3
VCVTSI2SD           Vsd,Hsd,Ey            nil               [vex m:1 p:3 l:i w:x 0x2A /r]           s:AVX, t:CONVERT, w:W|R|R, e:3
VMOVNTPS            Mx,Vx                 nil               [vex m:1 p:0 l:x w:i 0x2B /r:mem]       s:AVX, t:AVX, w:W|R, e:1
VMOVNTPD            Mx,Vx                 nil               [vex m:1 p:1 l:x w:i 0x2B /r:mem]       s:AVX, t:AVX, w:W|R, e:1
VCVTTSS2SI          Gy,Wss                nil               [vex m:1 p:2 l:i w:x 0x2C /r]           s:AVX, t:CONVERT, w:W|R, e:3
VCVTTSD2SI          Gy,Wsd                nil               [vex m:1 p:3 l:i w:x 0x2C /r]           s:AVX, t:CONVERT, w:W|R, e:3
VCVTSS2SI           Gy,Wss                nil               [vex m:1 p:2 l:i w:x 0x2D /r]           s:AVX, t:CONVERT, w:W|R, e:3
VCVTSD2SI           Gy,Wsd                nil               [vex m:1 p:3 l:i w:x 0x2D /r]           s:AVX, t:CONVERT, w:W|R, e:3
VUCOMISS            Vss,Wss               Fv                [vex m:1 p:0 l:i w:i 0x2E /r]           s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VUCOMISD            Vsd,Wsd               Fv                [vex m:1 p:1 l:i w:i 0x2E /r]           s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VCOMISS             Vss,Wss               Fv                [vex m:1 p:0 l:i w:i 0x2F /r]           s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3
VCOMISD             Vsd,Wsd               Fv                [vex m:1 p:1 l:i w:i 0x2F /r]           s:AVX, t:AVX, w:R|R|W, f:COMIS, e:3

# 0x30 - 0x3F

# 0x40 - 0x4F
# Note: ALL these instructions will zero-extend the result into the destination, up to the max length of the mask reg.
KANDW               rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x41 /r:reg]       s:AVX512F, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDB               rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x41 /r:reg]       s:AVX512DQ, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDQ               rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x41 /r:reg]       s:AVX512BW, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDD               rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x41 /r:reg]       s:AVX512BW, t:KMASK, c:KAND, w:W|R|R, e:K20
KANDNW              rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x42 /r:reg]       s:AVX512F, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDNB              rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x42 /r:reg]       s:AVX512DQ, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDNQ              rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x42 /r:reg]       s:AVX512BW, t:KMASK, c:KANDN, w:W|R|R, e:K20
KANDND              rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x42 /r:reg]       s:AVX512BW, t:KMASK, c:KANDN, w:W|R|R, e:K20
KORW                rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x45 /r:reg]       s:AVX512F, t:KMASK, c:KOR, w:W|R|R, e:K20
KORB                rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x45 /r:reg]       s:AVX512DQ, t:KMASK, c:KOR, w:W|R|R, e:K20
KORQ                rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x45 /r:reg]       s:AVX512BW, t:KMASK, c:KOR, w:W|R|R, e:K20
KORD                rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x45 /r:reg]       s:AVX512BW, t:KMASK, c:KOR, w:W|R|R, e:K20
KXNORW              rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x46 /r:reg]       s:AVX512F, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORB              rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x46 /r:reg]       s:AVX512DQ, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORQ              rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x46 /r:reg]       s:AVX512BW, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXNORD              rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x46 /r:reg]       s:AVX512BW, t:KMASK, c:KXNOR, w:W|R|R, e:K20
KXORW               rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x47 /r:reg]       s:AVX512F, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORB               rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x47 /r:reg]       s:AVX512DQ, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORQ               rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x47 /r:reg]       s:AVX512BW, t:KMASK, c:KXOR, w:W|R|R, e:K20
KXORD               rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x47 /r:reg]       s:AVX512BW, t:KMASK, c:KXOR, w:W|R|R, e:K20
KADDW               rKw,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x4A /r:reg]       s:AVX512DQ, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDB               rKb,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x4A /r:reg]       s:AVX512DQ, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDQ               rKq,vKq,mKq           nil               [vex m:1 p:0 l:1 w:1 0x4A /r:reg]       s:AVX512BW, t:KMASK, c:KADD, w:W|R|R, e:K20
KADDD               rKd,vKd,mKd           nil               [vex m:1 p:1 l:1 w:1 0x4A /r:reg]       s:AVX512BW, t:KMASK, c:KADD, w:W|R|R, e:K20
KMOVW               rKw,Mw                nil               [vex m:1 p:0 l:0 w:0 0x90 /r:mem]       s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVB               rKb,Mb                nil               [vex m:1 p:1 l:0 w:0 0x90 /r:mem]       s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVQ               rKq,Mq                nil               [vex m:1 p:0 l:0 w:1 0x90 /r:mem]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVD               rKd,Md                nil               [vex m:1 p:1 l:0 w:1 0x90 /r:mem]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVW               rKw,mKw               nil               [vex m:1 p:0 l:0 w:0 0x90 /r:reg]       s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB               rKb,mKb               nil               [vex m:1 p:1 l:0 w:0 0x90 /r:reg]       s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ               rKq,mKq               nil               [vex m:1 p:0 l:0 w:1 0x90 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD               rKd,mKd               nil               [vex m:1 p:1 l:0 w:1 0x90 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVW               Mw,rKw                nil               [vex m:1 p:0 l:0 w:0 0x91 /r:mem]       s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVB               Mb,rKb                nil               [vex m:1 p:1 l:0 w:0 0x91 /r:mem]       s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVQ               Mq,rKq                nil               [vex m:1 p:0 l:0 w:1 0x91 /r:mem]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVD               Md,rKd                nil               [vex m:1 p:1 l:0 w:1 0x91 /r:mem]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K21
KMOVW               rKw,Ry                nil               [vex m:1 p:0 l:0 w:0 0x92 /r:reg]       s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB               rKb,Ry                nil               [vex m:1 p:1 l:0 w:0 0x92 /r:reg]       s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ               rKq,Ry                nil               [vex m:1 p:3 l:0 w:1 0x92 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD               rKd,Ry                nil               [vex m:1 p:3 l:0 w:0 0x92 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVW               Gy,mKw                nil               [vex m:1 p:0 l:0 w:0 0x93 /r:reg]       s:AVX512F, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVB               Gy,mKb                nil               [vex m:1 p:1 l:0 w:0 0x93 /r:reg]       s:AVX512DQ, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVQ               Gy,mKq                nil               [vex m:1 p:3 l:0 w:1 0x93 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMOVD               Gy,mKd                nil               [vex m:1 p:3 l:0 w:0 0x93 /r:reg]       s:AVX512BW, t:KMASK, c:KMOV, w:W|R, e:K20
KMERGE2L1H          rKw,mKw               nil               [vex m:1 p:0 l:0 w:0 0x48 /r:reg]       s:UNKNOWN, t:UNKNOWN, c:KMERGE2L1H, w:W|R, e:K20
KMERGE2L1L          rKw,mKw               nil               [vex m:1 p:0 l:0 w:0 0x49 /r:reg]       s:UNKNOWN, t:UNKNOWN, c:KMERGE2L1L, w:W|R, e:K20
KUNPCKBW            rKw,vKb,mKb           nil               [vex m:1 p:1 l:1 w:0 0x4B /r:reg]       s:AVX512F, t:KMASK, c:KUNPCKBW, w:W|R|R, e:K20
KUNPCKWD            rKd,vKw,mKw           nil               [vex m:1 p:0 l:1 w:0 0x4B /r:reg]       s:AVX512BW, t:KMASK, c:KUNPCKWD, w:W|R|R, e:K20
KUNPCKDQ            rKq,vKd,mKd           nil               [vex m:1 p:0 l:1 w:1 0x4B /r:reg]       s:AVX512BW, t:KMASK, c:KUNPCKDQ, w:W|R|R, e:K20
KNOTW               rKw,mKw               nil               [vex m:1 p:0 l:0 w:0 0x44 /r:reg]       s:AVX512F, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTB               rKb,mKb               nil               [vex m:1 p:1 l:0 w:0 0x44 /r:reg]       s:AVX512DQ, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTQ               rKq,mKq               nil               [vex m:1 p:0 l:0 w:1 0x44 /r:reg]       s:AVX512BW, t:KMASK, c:KNOT, w:W|R, e:K20
KNOTD               rKd,mKd               nil               [vex m:1 p:1 l:0 w:1 0x44 /r:reg]       s:AVX512BW, t:KMASK, c:KNOT, w:W|R, e:K20
KORTESTW            rKw,mKw               Fv                [vex m:1 p:0 l:0 w:0 0x98 /r:reg]       s:AVX512F, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTB            rKb,mKb               Fv                [vex m:1 p:1 l:0 w:0 0x98 /r:reg]       s:AVX512DQ, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTQ            rKq,mKq               Fv                [vex m:1 p:0 l:0 w:1 0x98 /r:reg]       s:AVX512BW, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KORTESTD            rKd,mKd               Fv                [vex m:1 p:1 l:0 w:1 0x98 /r:reg]       s:AVX512BW, t:KMASK, c:KORTEST, w:R|R|W, f:KORTEST, e:K20
KTESTW              rKw,mKw               nil               [vex m:1 p:0 l:0 w:0 0x99 /r:reg]       s:AVX512DQ, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTB              rKb,mKb               nil               [vex m:1 p:1 l:0 w:0 0x99 /r:reg]       s:AVX512DQ, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTQ              rKq,mKq               nil               [vex m:1 p:0 l:0 w:1 0x99 /r:reg]       s:AVX512BW, t:KMASK, c:KTEST, w:W|R, e:K20
KTESTD              rKd,mKd               nil               [vex m:1 p:1 l:0 w:1 0x99 /r:reg]       s:AVX512BW, t:KMASK, c:KTEST, w:W|R, e:K20

# 0x50 - 0x5F
VMOVMSKPS           Gy,Ux                 nil               [vex m:1 p:0 l:x w:i 0x50 /r:reg]       s:AVX, t:DATAXFER, w:W|R, e:7
VMOVMSKPD           Gy,Ux                 nil               [vex m:1 p:1 l:x w:i 0x50 /r:reg]       s:AVX, t:DATAXFER, w:W|R, e:7
VSQRTPS             Vx,Wx                 nil               [vex m:1 p:0 l:x w:i 0x51 /r]           s:AVX, t:AVX, w:W|R, e:2
VSQRTPD             Vx,Wx                 nil               [vex m:1 p:1 l:x w:i 0x51 /r]           s:AVX, t:AVX, w:W|R, e:2
VSQRTSS             Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x51 /r]           s:AVX, t:AVX, w:W|R|R, e:3
VSQRTSD             Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x51 /r]           s:AVX, t:AVX, w:W|R|R, e:3
VRSQRTPS            Vx,Wx                 nil               [vex m:1 p:0 l:x w:i 0x52 /r]           s:AVX, t:AVX, w:W|R, e:4
VRSQRTSS            Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x52 /r]           s:AVX, t:AVX, w:W|R|R, e:5
VRCPPS              Vps,Wps               nil               [vex m:1 p:0 l:x w:i 0x53 /r]           s:AVX, t:AVX, w:W|R, e:4
VRCPSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x53 /r]           s:AVX, t:AVX, w:W|R|R, e:5
VANDPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x54 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x54 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDNPS             Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x55 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VANDNPD             Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x55 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VORPS               Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x56 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VORPD               Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x56 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VXORPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x57 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VXORPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x57 /r]           s:AVX, t:LOGICAL_FP, w:W|R|R, e:4
VADDPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x58 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VADDPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x58 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VADDSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x58 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VADDSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x58 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMULPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x59 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMULPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x59 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMULSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x59 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMULSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x59 /r]           s:AVX, t:AVX, w:W|R|R, e:2
VCVTPS2PD           Vpd,Wq                nil               [vex m:1 p:0 l:0 w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTPS2PD           Vqq,Wdq               nil               [vex m:1 p:0 l:1 w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTPD2PS           Vdq,Wdq               nil               [vex m:1 p:1 l:0 w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTPD2PS           Vdq,Wqq               nil               [vex m:1 p:1 l:1 w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTSS2SD           Vsd,Hx,Wss            nil               [vex m:1 p:2 l:i w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R|R, e:3
VCVTSD2SS           Vss,Hx,Wsd            nil               [vex m:1 p:3 l:i w:i 0x5A /r]           s:AVX, t:CONVERT, w:W|R|R, e:3
VCVTDQ2PS           Vps,Wps               nil               [vex m:1 p:0 l:x w:i 0x5B /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTPS2DQ           Vps,Wps               nil               [vex m:1 p:1 l:x w:i 0x5B /r]           s:AVX, t:CONVERT, w:W|R, e:2
VCVTTPS2DQ          Vps,Wps               nil               [vex m:1 p:2 l:x w:i 0x5B /r]           s:AVX, t:CONVERT, w:W|R, e:2
VSUBPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x5C /r]           s:AVX, t:AVX, w:W|R|R, e:2
VSUBPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x5C /r]           s:AVX, t:AVX, w:W|R|R, e:2
VSUBSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x5C /r]           s:AVX, t:AVX, w:W|R|R, e:2
VSUBSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x5C /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMINPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x5D /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMINPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x5D /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMINSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x5D /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMINSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x5D /r]           s:AVX, t:AVX, w:W|R|R, e:2
VDIVPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x5E /r]           s:AVX, t:AVX, w:W|R|R, e:2
VDIVPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x5E /r]           s:AVX, t:AVX, w:W|R|R, e:2
VDIVSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x5E /r]           s:AVX, t:AVX, w:W|R|R, e:2
VDIVSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x5E /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMAXPS              Vps,Hps,Wps           nil               [vex m:1 p:0 l:x w:i 0x5F /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMAXPD              Vpd,Hpd,Wpd           nil               [vex m:1 p:1 l:x w:i 0x5F /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMAXSS              Vss,Hss,Wss           nil               [vex m:1 p:2 l:i w:i 0x5F /r]           s:AVX, t:AVX, w:W|R|R, e:2
VMAXSD              Vsd,Hsd,Wsd           nil               [vex m:1 p:3 l:i w:i 0x5F /r]           s:AVX, t:AVX, w:W|R|R, e:2


# 0x60 - 0x6F
VPUNPCKLBW          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x60 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLWD          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x61 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLDQ          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x62 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPACKSSWB           Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x63 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTB            Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x64 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTW            Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x65 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTD            Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x66 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPACKUSWB           Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x67 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHBW          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x68 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHWD          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x69 /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHDQ          Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x6A /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPACKSSDW           Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x6B /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLQDQ         Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x6C /r]           s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHQDQ         Vx,Hx,Wx              nil               [vex m:1 p:1 l:x w:i 0x6D /r]           s:AVX, t:AVX, w:W|R|R, e:4
VMOVD               Vdq,Ey                nil               [vex m:1 p:1 l:0 w:0 0x6E /r]           s:AVX, t:DATAXFER, w:W|R, e:5
VMOVQ               Vdq,Ey                nil               [vex m:1 p:1 l:0 w:1 0x6E /r]           s:AVX, t:DATAXFER, w:W|R, e:5
